pokemon_id,pokemon_name,display_name,level,hp,attack,defense,sp_attack,sp_defense,crit_percent,cdr_percent,lifesteal_percent,attack_speed_percent,move_speed,penetration,range,role,difficulty,damage_type,tier,solo_queue_tier,last_updated
1.,Absol,Absol,1.,"3,000.",140.,52.,20.,36.,0.,0.,0.,10.,"3,650.",0.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,2.,"3,114.",159.,61.,23.,42.,0.,0.,0.,10.71,"3,650.",4.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,3.,"3,239.",180.,71.,27.,48.,0.,0.,0.,11.49,"3,650.",9.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,4.,"3,377.",203.,82.,31.,55.,0.,0.,0.,12.35,"3,650.",13.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,5.,"3,528.",228.,94.,36.,63.,5.,10.,5.,13.29,"3,800.",17.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,6.,"3,695.",256.,107.,41.,72.,5.,10.,5.,14.33,"3,800.",21.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,7.,"3,878.",286.,121.,47.,81.,5.,10.,5.,15.48,"3,950.",26.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,8.,"4,080.",319.,137.,53.,91.,5.,10.,5.,16.74,"3,950.",30.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,9.,"4,303.",356.,154.,60.,102.,10.,20.,10.,18.13,"4,100.",34.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,10.,"4,549.",397.,173.,68.,115.,10.,20.,10.,19.66,"4,100.",39.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,11.,"4,819.",442.,194.,76.,129.,10.,20.,10.,21.35,"4,250.",43.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,12.,"5,116.",491.,217.,85.,144.,10.,20.,10.,23.21,"4,250.",47.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,13.,"5,443.",545.,242.,95.,161.,10.,20.,10.,25.26,"4,250.",51.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,14.,"5,803.",605.,270.,106.,180.,10.,20.,10.,27.51,"4,250.",56.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
1.,Absol,Absol,15.,"6,200.",670.,300.,118.,200.,10.,20.,10.,29.99,"4,250.",60.,Melee,Speedster,Expert,Physical,A+,B,"December 27, 2025"
2.,Aegislash,Aegislash,1.,"3,000.",168.,80.,20.,60.,0.,0.,0.,15.,"3,600.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,2.,"3,062.",171.,83.,21.,62.,0.,0.,0.,15.98,"3,600.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,3.,"3,136.",174.,86.,23.,64.,0.,0.,0.,17.16,"3,600.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,4.,"3,225.",178.,90.,25.,67.,0.,0.,0.,18.57,"3,600.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,5.,"3,547.",192.,105.,32.,77.,5.,10.,0.,21.77,"3,750.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,6.,"3,675.",198.,111.,35.,81.,5.,10.,0.,23.81,"3,750.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,7.,"4,259.",223.,138.,48.,100.,5.,10.,0.,29.25,"3,900.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,8.,"4,444.",231.,147.,52.,106.,5.,10.,0.,35.18,"3,900.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,9.,"4,665.",241.,157.,57.,113.,10.,20.,0.,35.7,"4,050.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,10.,"4,931.",253.,169.,63.,122.,10.,20.,0.,39.92,"4,050.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,11.,"5,250.",267.,184.,70.,132.,10.,20.,0.,44.99,"4,200.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,12.,"5,632.",284.,202.,78.,144.,10.,20.,0.,44.99,"4,200.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
2.,Aegislash,Aegislash,13.,"6,091.",304.,223.,88.,159.,10.,20.,0.,44.99,"4,200.",0.,Melee,All-Rounder,Expert,Physical,B,B,"December 27, 2025"
